GESTURE_START_MIC
-0.15 -0.18 0.51 -8.28 -109.13 141.70 90.21
0.09 0.11 0.89 -12.66 -39.22 48.77 31.04
0.10 0.13 0.99 9.11 -12.78 10.92 25.22
0.05 0.14 1.00 4.73 -4.64 -5.01 32.01
0.07 0.16 0.99 -1.18 1.76 -1.32 31.04
0.07 0.15 0.98 1.11 0.09 0.49 32.98
0.04 0.14 0.99 -3.20 1.55 1.25 34.92
0.05 0.14 0.99 1.04 -0.05 2.64 34.92
0.05 0.14 1.00 -0.35 2.38 1.25 36.86
0.05 0.14 0.99 0.56 1.34 1.67 33.95
GESTURE_START_MIC
-0.59 -1.00 0.31 51.97 -30.45 19.62 -133.86
-1.14 -1.03 0.53 -22.89 -110.52 252.24 16.49
-0.36 -0.22 0.48 11.06 -128.12 198.61 89.24
0.07 0.08 0.69 -26.92 -74.84 123.97 5.82
0.25 0.11 0.98 0.83 -4.92 1.60 -10.67
0.14 0.13 0.97 -2.92 -0.47 -1.81 -2.91
0.17 0.13 0.98 0.97 0.57 0.77 -0.97
0.15 0.13 0.98 2.23 1.34 1.18 -0.97
0.16 0.13 0.99 0.70 1.90 1.88 0.97
0.16 0.11 0.98 0.07 -0.47 0.56 1.94
0.15 0.11 0.98 -4.03 0.29 -1.32 3.88
0.16 0.09 0.98 0.28 0.71 1.60 0.97
GESTURE_START_MIC
-0.19 -0.96 0.18 1.39 1.20 1.11 -166.84
-0.65 -1.11 0.32 140.73 -61.97 45.43 -163.93
-0.86 -1.13 0.38 -39.51 -152.89 195.06 7.76
-0.44 -0.35 0.40 20.10 -153.58 190.54 129.01
0.05 0.06 0.71 -5.57 -73.93 84.94 32.01
0.20 0.00 1.00 -1.04 -3.95 26.85 31.04
0.13 0.08 0.97 -4.66 7.95 -6.47 29.10
0.09 0.08 0.99 0.21 2.59 2.99 28.13
0.06 0.08 1.01 2.57 2.87 -0.90 27.16
0.08 0.06 0.99 0.97 -0.05 2.30 33.95
0.07 0.07 1.00 2.37 -1.37 2.30 32.01
0.08 0.08 1.00 -0.63 0.78 -0.42 36.86
GESTURE_START_MIC
-0.35 -1.00 0.21 24.49 4.40 29.08 -126.10
-0.99 -1.18 0.52 7.03 -109.55 181.50 -52.38
-0.46 -0.44 0.28 22.96 -141.76 202.78 124.16
-0.02 -0.00 0.69 10.43 -91.11 98.37 41.71
0.21 0.08 0.90 -9.95 -1.24 48.00 -27.16
0.15 0.11 0.96 -2.09 1.13 -3.20 -15.52
0.09 0.10 1.00 -0.21 -1.65 -0.97 -2.91
0.12 0.11 0.98 0.77 -0.05 -0.63 -2.91
0.12 0.13 0.99 0.42 2.24 -0.49 0.97
0.10 0.11 0.99 -0.56 0.50 -0.90 2.91
0.11 0.12 0.99 -0.28 -1.31 -1.25 2.91
0.12 0.11 0.98 1.11 0.09 0.83 1.94
GESTURE_START_MIC
-0.25 -0.96 0.17 -1.88 -3.11 2.85 -150.35
-0.70 -0.85 0.22 -8.07 -5.48 85.70 -128.04
-0.73 -0.91 0.27 -2.92 -93.97 214.12 102.82
-0.34 -0.13 0.47 2.78 -149.13 136.00 137.74
0.05 0.04 0.80 -7.65 -55.64 66.64 43.65
0.09 0.06 0.99 10.30 -5.83 12.03 47.53
0.02 0.12 0.99 2.02 0.92 -9.04 37.83
0.04 0.13 0.98 1.95 -0.75 -0.63 43.65
0.05 0.12 0.99 -1.18 -2.00 -0.35 40.74
0.05 0.13 0.97 2.50 0.16 3.41 41.71
0.04 0.12 0.98 -1.53 1.41 0.28 40.74
0.06 0.12 0.99 0.28 -0.33 0.70 39.77
